Q2,GEn,stat,sys,Experiment,GMn,RatE
0.255,0.066,0.036,0.009,Eden,1.033939747850889,0.06854962859459493
0.34,0.0611,0.0069,0.0,Ostrick,0.8733156840747791,0.015090762985623335
0.15,0.0481,0.0065,0.0053,Herberg,1.3018260433916227,0.01230499931220462
0.21,0.066,0.015,0.004,Passchier,1.1375597137198061,0.02606559753500559
0.3,0.0552,0.0061,0.0018,Glazier,0.9438589762694286,0.012870206639086931
0.59,0.0477,0.007,0.0019,Glazier,0.5697222140191976,0.024316684767983543
0.79,0.0468,0.009,0.0025,Glazier,0.42792468519664184,0.04169161755162351
0.447,0.0545,0.0064,0.0015,Plaster,0.7192554147445999,0.017455904624131977
1.132,0.0396,0.0032,0.001,Plaster,0.2837726959945476,0.022565549656556095
1.45,0.0415,0.0039,0.0011,Plaster,0.2063680001912817,0.03750399982535911
0.27,0.0334,0.0033,0.0028,Becker,1.002530759779721,0.00824526369147849
0.4,0.052,0.0038,0.0,Golak,0.7814548670501127,0.009287804460669593
0.67,0.0484,0.0071,0.0,Bermuth,0.5055820949865805,0.02682254797880045
0.98,0.0414,0.0077,0.0022,Sulkosky,0.3371137361060341,0.04537195978441944
0.495,0.04632,0.00616,0.00341,Zhu,0.6630950167472625,0.020280715382309134
0.5,0.0526,0.0033,0.0026,Warren,0.657626215212379,0.012201875931560574
1.0,0.0454,0.0054,0.0037,Warren,0.32927414988969056,0.03797092204433646
1.72,0.0236,0.0017,0.0026,Riordan,0.1630561976820004,0.036388127951866474
2.48,0.0208,0.0024,0.0019,Riordan,0.09461685141581191,0.06179234414323662
3.41,0.0147,0.002,0.0014,Riordan,0.056722508111770896,0.08220553710393214
0.142,0.017765596162739965,0.002532916680628272,0.0010905613486038395,Geis,1.3263882575277781,0.003971111214763959
0.203,0.021326555250259314,0.0025775980446356575,0.0011967419492951267,Geis,1.1550699962359974,0.004699251372642259
0.291,0.026296530062055318,0.0032677684127994373,0.0011836011573919222,Geis,0.9609077652541702,0.006908299341332531
0.415,0.024184549246837442,0.0037588283201745645,0.001073950948621304,Geis,0.7607549959051411,0.00981478836205561
