Run Number,Polarization,Error
2168.0,84.089,0.181
2169.0,84.089,0.181
2170.0,84.089,0.181
2171.0,84.089,0.181
2172.0,84.089,0.181
2173.0,84.089,0.181
2174.0,84.089,0.181
2175.0,84.089,0.181
2176.0,84.089,0.181
2199.0,84.089,0.181
2200.0,84.089,0.181
2201.0,84.089,0.181
2203.0,84.089,0.181
2204.0,84.089,0.181
2206.0,84.089,0.181
2208.0,84.089,0.181
2209.0,84.089,0.181
2210.0,84.089,0.181
2211.0,84.089,0.181
2212.0,84.089,0.181
2213.0,84.089,0.181
2214.0,84.089,0.181
2215.0,84.089,0.181
2216.0,84.089,0.181
2217.0,84.089,0.181
2218.0,84.089,0.181
2219.0,84.089,0.181
2220.0,84.089,0.181
2221.0,84.089,0.181
2222.0,84.089,0.181
2223.0,84.089,0.181
2224.0,84.089,0.181
2225.0,84.089,0.181
2226.0,84.089,0.181
2227.0,84.089,0.181
2228.0,84.089,0.181
2229.0,84.089,0.181
2230.0,84.089,0.181
2231.0,84.089,0.181
2232.0,84.089,0.181
2233.0,84.089,0.181
2234.0,84.089,0.181
2235.0,84.089,0.181
2236.0,84.089,0.181
2237.0,84.089,0.181
2238.0,84.089,0.181
2239.0,84.089,0.181
2240.0,84.089,0.181
2241.0,84.089,0.181
2242.0,84.089,0.181
2243.0,84.089,0.181
2244.0,84.089,0.181
2245.0,84.089,0.181
2246.0,84.089,0.181
2247.0,84.089,0.181
2248.0,84.089,0.181
2250.0,84.089,0.181
2251.0,84.089,0.181
2252.0,84.089,0.181
2253.0,84.089,0.181
2254.0,84.089,0.181
2255.0,84.089,0.181
2256.0,84.089,0.181
2257.0,84.089,0.181
2258.0,84.089,0.181
2259.0,84.089,0.181
2260.0,84.089,0.181
2275.0,84.089,0.181
2276.0,84.089,0.181
2302.0,84.089,0.181
2303.0,84.089,0.181
2304.0,84.089,0.181
2305.0,84.089,0.181
2306.0,84.089,0.181
2307.0,84.089,0.181
2309.0,84.089,0.181
2310.0,84.089,0.181
2313.0,84.089,0.181
2314.0,84.089,0.181
2315.0,84.089,0.181
2316.0,84.089,0.181
2318.0,84.089,0.181
2319.0,84.089,0.181
2320.0,84.089,0.181
2321.0,84.089,0.181
2322.0,84.089,0.181
2323.0,84.089,0.181
2506.0,86.488,0.08
2507.0,86.488,0.08
2511.0,86.488,0.08
2512.0,86.488,0.08
2516.0,86.488,0.08
2517.0,86.488,0.08
2518.0,86.488,0.08
2519.0,86.488,0.08
2520.0,86.488,0.08
2521.0,86.488,0.08
2522.0,86.488,0.08
2523.0,86.488,0.08
2524.0,86.488,0.08
2525.0,86.488,0.08
2526.0,86.488,0.08
2527.0,86.488,0.08
2528.0,86.488,0.08
2529.0,86.488,0.08
2531.0,86.488,0.08
2535.0,86.488,0.08
2536.0,86.488,0.08
2537.0,86.488,0.08
2539.0,86.488,0.08
2540.0,86.488,0.08
2541.0,86.488,0.08
2542.0,86.488,0.08
2543.0,86.488,0.08
2544.0,86.488,0.08
2545.0,86.488,0.08
2551.0,86.488,0.08
2552.0,86.488,0.08
2553.0,86.488,0.08
2554.0,86.488,0.08
2555.0,86.488,0.08
2556.0,86.488,0.08
2557.0,86.488,0.08
2558.0,86.488,0.08
2559.0,86.488,0.08
2560.0,86.488,0.08
2561.0,86.488,0.08
2562.0,86.488,0.08
2563.0,86.488,0.08
2564.0,86.488,0.08
2565.0,86.488,0.08
2566.0,86.488,0.08
2568.0,86.488,0.08
2569.0,86.488,0.08
2570.0,86.488,0.08
2571.0,86.488,0.08
2572.0,86.488,0.08
2574.0,86.488,0.08
2575.0,86.488,0.08
2576.0,86.488,0.08
2577.0,86.488,0.08
2578.0,86.488,0.08
2579.0,86.488,0.08
2580.0,86.488,0.08
2581.0,86.488,0.08
2583.0,86.488,0.08
2584.0,86.488,0.08
2585.0,86.488,0.08
2586.0,86.488,0.08
2587.0,86.488,0.08
2613.0,86.488,0.08
2614.0,86.488,0.08
2615.0,86.488,0.08
2616.0,86.488,0.08
2617.0,86.488,0.08
2618.0,86.488,0.08
2619.0,86.488,0.08
2620.0,86.488,0.08
2621.0,86.488,0.08
2622.0,86.488,0.08
2623.0,86.488,0.08
2624.0,86.488,0.08
2625.0,86.488,0.08
2626.0,86.488,0.08
2627.0,86.488,0.08
2628.0,86.488,0.08
2629.0,86.488,0.08
2630.0,86.488,0.08
2631.0,86.488,0.08
2632.0,86.488,0.08
2633.0,86.488,0.08
2634.0,86.488,0.08
2635.0,86.488,0.08
2637.0,86.488,0.08
2638.0,86.488,0.08
2646.0,86.488,0.08
2647.0,86.488,0.08
2648.0,86.488,0.08
2649.0,86.488,0.08
2650.0,86.488,0.08
2651.0,86.488,0.08
2658.0,86.488,0.08
2659.0,86.488,0.08
2660.0,86.488,0.08
2661.0,86.488,0.08
2662.0,86.488,0.08
2667.0,86.488,0.08
2668.0,86.488,0.08
2669.0,86.488,0.08
2670.0,86.488,0.08
2671.0,86.488,0.08
2674.0,86.488,0.08
2676.0,86.488,0.08
2677.0,86.488,0.08
2678.0,86.488,0.08
2679.0,86.488,0.08
2680.0,86.488,0.08
2681.0,86.488,0.08
2683.0,86.488,0.08
2684.0,86.488,0.08
2685.0,86.488,0.08
2687.0,86.488,0.08
2688.0,86.488,0.08
2689.0,86.488,0.08
2690.0,86.488,0.08
2691.0,86.488,0.08
2692.0,86.488,0.08
2693.0,86.488,0.08
2694.0,86.488,0.08
2695.0,86.488,0.08
2696.0,86.488,0.08
2697.0,86.488,0.08
2698.0,86.488,0.08
2699.0,86.488,0.08
2700.0,86.488,0.08
2701.0,86.488,0.08
2702.0,86.488,0.08
2703.0,86.488,0.08
2704.0,86.488,0.08
2705.0,86.488,0.08
2706.0,86.488,0.08
2707.0,86.488,0.08
2709.0,86.488,0.08
2710.0,86.488,0.08
2711.0,86.488,0.08
2712.0,86.488,0.08
2713.0,86.488,0.08
2714.0,86.488,0.08
2715.0,86.488,0.08
2716.0,86.488,0.08
2717.0,86.488,0.08
2718.0,86.488,0.08
2719.0,86.488,0.08
2720.0,86.488,0.08
2721.0,86.488,0.08
2722.0,86.488,0.08
2723.0,86.488,0.08
2724.0,86.488,0.08
2725.0,86.488,0.08
2726.0,86.488,0.08
2727.0,86.488,0.08
2728.0,86.488,0.08
2729.0,86.488,0.08
2730.0,86.488,0.08
2763.0,86.488,0.08
2764.0,86.488,0.08
2765.0,86.488,0.08
2766.0,86.488,0.08
2767.0,86.488,0.08
2768.0,86.488,0.08
2769.0,86.488,0.08
2770.0,86.488,0.08
2959.0,86.488,0.08
2964.0,86.488,0.08
2966.0,86.488,0.08
2967.0,86.488,0.08
2968.0,86.488,0.08
2970.0,86.488,0.08
2971.0,86.488,0.08
2973.0,86.488,0.08
2974.0,86.488,0.08
2976.0,86.488,0.08
2981.0,86.488,0.08
2983.0,86.488,0.08
2984.0,86.488,0.08
2985.0,86.488,0.08
2986.0,86.488,0.08
2988.0,86.488,0.08
2989.0,86.488,0.08
2990.0,86.488,0.08
2995.0,86.488,0.08
2996.0,86.488,0.08
2997.0,86.488,0.08
2998.0,86.488,0.08
2999.0,86.488,0.08
3000.0,86.488,0.08
3001.0,86.488,0.08
3003.0,86.488,0.08
3004.0,86.488,0.08
3005.0,86.488,0.08
3006.0,86.488,0.08
3007.0,86.488,0.08
3008.0,86.488,0.08
3009.0,86.488,0.08
3011.0,86.488,0.08
3013.0,86.488,0.08
3014.0,86.488,0.08
3016.0,86.488,0.08
3017.0,86.488,0.08
3018.0,86.488,0.08
3019.0,86.488,0.08
3020.0,86.488,0.08
3021.0,86.488,0.08
3022.0,86.488,0.08
3024.0,86.488,0.08
3025.0,86.488,0.08
3026.0,86.488,0.08
3027.0,86.488,0.08
3028.0,86.488,0.08
3029.0,86.488,0.08
3030.0,86.488,0.08
3035.0,86.488,0.08
3036.0,86.488,0.08
3037.0,86.488,0.08
3038.0,86.488,0.08
3039.0,86.488,0.08
3043.0,86.488,0.08
3045.0,86.488,0.08
3046.0,86.488,0.08
3047.0,86.488,0.08
3048.0,86.488,0.08
3049.0,86.488,0.08
3050.0,86.488,0.08
3051.0,86.488,0.08
3052.0,86.488,0.08
3054.0,86.488,0.08
3055.0,86.488,0.08
3058.0,86.488,0.08
3059.0,86.488,0.08
3061.0,86.488,0.08
3062.0,86.488,0.08
3063.0,86.488,0.08
3064.0,86.488,0.08
3065.0,86.488,0.08
3068.0,86.488,0.08
3069.0,86.488,0.08
3075.0,86.488,0.08
3076.0,86.488,0.08
3077.0,86.488,0.08
3079.0,86.488,0.08
3080.0,86.488,0.08
3082.0,86.488,0.08
3089.0,86.488,0.08
3090.0,86.488,0.08
3091.0,86.488,0.08
3092.0,86.488,0.08
3093.0,86.488,0.08
3108.0,86.488,0.08
3109.0,86.488,0.08
3110.0,86.488,0.08
3111.0,86.488,0.08
3112.0,86.488,0.08
3113.0,86.488,0.08
3114.0,86.488,0.08
3115.0,86.488,0.08
3116.0,86.488,0.08
3117.0,86.488,0.08
3118.0,86.488,0.08
3119.0,86.488,0.08
3120.0,86.488,0.08
3121.0,86.488,0.08
3122.0,86.488,0.08
3123.0,86.488,0.08
3124.0,86.488,0.08
3126.0,86.488,0.08
3127.0,86.488,0.08
3134.0,86.488,0.08
3135.0,86.488,0.08
3136.0,86.488,0.08
3138.0,86.488,0.08
3139.0,86.488,0.08
3140.0,86.488,0.08
3141.0,86.488,0.08
3149.0,86.488,0.08
3150.0,86.488,0.08
3151.0,86.488,0.08
3152.0,86.488,0.08
3158.0,86.488,0.08
3159.0,86.488,0.08
3160.0,86.488,0.08
3161.0,86.488,0.08
3162.0,86.488,0.08
3163.0,86.488,0.08
3164.0,86.488,0.08
3165.0,86.488,0.08
3166.0,86.488,0.08
3167.0,86.488,0.08
3170.0,86.488,0.08
3171.0,86.488,0.08
3173.0,86.488,0.08
3174.0,86.488,0.08
3176.0,86.488,0.08
3177.0,86.488,0.08
3178.0,86.488,0.08
3179.0,86.488,0.08
3180.0,86.488,0.08
3181.0,86.488,0.08
3182.0,86.488,0.08
3183.0,86.488,0.08
3184.0,86.488,0.08
3185.0,86.488,0.08
3186.0,86.488,0.08
3188.0,86.488,0.08
3190.0,86.488,0.08
3191.0,86.488,0.08
3192.0,86.488,0.08
3193.0,86.488,0.08
3194.0,86.488,0.08
3195.0,86.488,0.08
3196.0,86.488,0.08
3197.0,86.488,0.08
3198.0,86.488,0.08
3199.0,86.488,0.08
3200.0,86.488,0.08
3201.0,86.488,0.08
3202.0,86.488,0.08
3203.0,86.488,0.08
3204.0,86.488,0.08
3205.0,86.488,0.08
3212.0,86.488,0.08
3213.0,86.488,0.08
3214.0,86.488,0.08
3215.0,86.488,0.08
3217.0,86.488,0.08
3218.0,86.488,0.08
3219.0,86.488,0.08
3220.0,86.488,0.08
3221.0,86.488,0.08
3222.0,86.488,0.08
3223.0,86.488,0.08
3224.0,86.488,0.08
3225.0,86.488,0.08
3226.0,86.488,0.08
3227.0,86.488,0.08
3228.0,86.488,0.08
3229.0,86.488,0.08
3230.0,86.488,0.08
3231.0,86.488,0.08
3239.0,86.488,0.08
3240.0,86.488,0.08
3241.0,86.488,0.08
3242.0,86.488,0.08
3243.0,86.488,0.08
3244.0,86.488,0.08
3245.0,86.488,0.08
3246.0,86.488,0.08
3247.0,86.488,0.08
3248.0,86.488,0.08
3249.0,86.488,0.08
3250.0,86.488,0.08
3510.0,86.185,0.163
3511.0,86.185,0.163
3512.0,86.185,0.163
3514.0,86.185,0.163
3515.0,86.185,0.163
3517.0,86.185,0.163
3518.0,86.185,0.163
3519.0,86.185,0.163
3520.0,86.185,0.163
3521.0,86.185,0.163
3523.0,86.185,0.163
3524.0,86.185,0.163
3525.0,86.185,0.163
3526.0,86.185,0.163
3552.0,86.185,0.163
3553.0,86.185,0.163
3554.0,86.185,0.163
3555.0,86.185,0.163
3556.0,86.185,0.163
3557.0,86.185,0.163
3558.0,86.185,0.163
3559.0,86.185,0.163
3560.0,86.185,0.163
3561.0,86.185,0.163
3562.0,86.185,0.163
3563.0,86.185,0.163
3578.0,86.185,0.163
3579.0,86.185,0.163
3580.0,86.185,0.163
3581.0,86.185,0.163
3582.0,86.185,0.163
3583.0,86.185,0.163
3588.0,86.185,0.163
3589.0,86.185,0.163
3590.0,86.185,0.163
3591.0,86.185,0.163
3592.0,86.185,0.163
3593.0,86.185,0.163
3594.0,86.185,0.163
3595.0,86.185,0.163
3596.0,86.185,0.163
3671.0,86.185,0.163
3672.0,86.185,0.163
3673.0,86.185,0.163
3694.0,86.185,0.163
3695.0,86.185,0.163
3696.0,86.185,0.163
3697.0,86.185,0.163
3698.0,86.185,0.163
3701.0,86.185,0.163
3702.0,86.185,0.163
3703.0,86.185,0.163
3704.0,86.185,0.163
3705.0,86.185,0.163
3706.0,86.185,0.163
3708.0,86.185,0.163
3709.0,86.185,0.163
3710.0,86.185,0.163
3711.0,86.185,0.163
3712.0,86.185,0.163
3713.0,86.185,0.163
3714.0,86.185,0.163
3715.0,86.185,0.163
3716.0,86.185,0.163
3717.0,86.185,0.163
3718.0,86.185,0.163
3719.0,86.185,0.163
3720.0,86.185,0.163
3721.0,86.185,0.163
3722.0,86.185,0.163
3723.0,86.185,0.163
3729.0,86.185,0.163
3730.0,86.185,0.163
3731.0,86.185,0.163
3732.0,86.185,0.163
3733.0,86.185,0.163
3734.0,86.185,0.163
3737.0,86.185,0.163
3738.0,86.185,0.163
3739.0,86.185,0.163
3740.0,86.185,0.163
3741.0,86.185,0.163
3742.0,86.185,0.163
3747.0,86.185,0.163
3748.0,86.185,0.163
3749.0,86.185,0.163
3750.0,86.185,0.163
3752.0,86.185,0.163
3753.0,86.185,0.163
3754.0,86.185,0.163
3755.0,86.185,0.163
3756.0,86.185,0.163
3758.0,86.185,0.163
3759.0,86.185,0.163
3761.0,86.185,0.163
3762.0,86.185,0.163
3763.0,86.185,0.163
3764.0,86.185,0.163
3765.0,86.185,0.163
3766.0,86.185,0.163
3767.0,86.185,0.163
3782.0,86.185,0.163
3783.0,86.185,0.163
3784.0,86.185,0.163
3786.0,86.185,0.163
3787.0,86.185,0.163
3788.0,86.185,0.163
3789.0,86.185,0.163
3790.0,86.185,0.163
3791.0,86.185,0.163
3792.0,86.185,0.163
3794.0,86.185,0.163
3795.0,86.185,0.163
3796.0,86.185,0.163
3810.0,86.185,0.163
3811.0,86.185,0.163
3812.0,86.185,0.163
3813.0,86.185,0.163
3815.0,86.185,0.163
3822.0,86.185,0.163
3823.0,86.185,0.163
3824.0,86.185,0.163
3825.0,86.185,0.163
3826.0,86.185,0.163
3827.0,86.185,0.163
3828.0,86.185,0.163
3829.0,86.185,0.163
3830.0,86.185,0.163
3832.0,86.185,0.163
3833.0,86.185,0.163
3835.0,86.185,0.163
3836.0,86.185,0.163
3837.0,86.185,0.163
3838.0,86.185,0.163
3839.0,86.185,0.163
3840.0,86.185,0.163
3841.0,86.185,0.163
3842.0,86.185,0.163
3843.0,86.185,0.163
3844.0,86.185,0.163
3846.0,86.185,0.163
3847.0,86.185,0.163
3848.0,86.185,0.163
3849.0,86.185,0.163
3850.0,86.185,0.163
3851.0,86.185,0.163
3852.0,86.185,0.163
3853.0,86.185,0.163
3854.0,86.185,0.163
3855.0,86.185,0.163
3856.0,86.185,0.163
3857.0,86.185,0.163
3858.0,86.185,0.163
3859.0,86.185,0.163
3860.0,86.185,0.163
3861.0,86.185,0.163
3864.0,86.185,0.163
3866.0,86.185,0.163
3868.0,86.185,0.163
3869.0,86.185,0.163
3878.0,82.334,0.07
3880.0,82.334,0.07
3881.0,82.334,0.07
3882.0,82.334,0.07
3883.0,82.334,0.07
3884.0,82.334,0.07
3885.0,82.334,0.07
3889.0,82.334,0.07
3890.0,82.334,0.07
3923.0,82.334,0.07
3924.0,82.334,0.07
3926.0,82.334,0.07
3927.0,82.334,0.07
3928.0,82.334,0.07
3929.0,82.334,0.07
3930.0,82.334,0.07
3931.0,82.334,0.07
3932.0,82.334,0.07
3933.0,82.334,0.07
3934.0,82.334,0.07
3935.0,82.334,0.07
3936.0,82.334,0.07
3937.0,82.334,0.07
3938.0,82.334,0.07
3939.0,82.334,0.07
3940.0,82.334,0.07
3941.0,82.334,0.07
3942.0,82.334,0.07
3944.0,82.334,0.07
3945.0,82.334,0.07
3946.0,82.334,0.07
3947.0,82.334,0.07
3948.0,82.334,0.07
3951.0,82.334,0.07
3952.0,82.334,0.07
3954.0,82.334,0.07
3955.0,82.334,0.07
3956.0,82.334,0.07
3957.0,82.334,0.07
3958.0,82.334,0.07
3959.0,82.334,0.07
3960.0,82.334,0.07
3961.0,82.334,0.07
3962.0,82.334,0.07
3963.0,82.334,0.07
3964.0,82.334,0.07
3965.0,82.334,0.07
