##            Q2           GEn/GD          dGEn/GD      dGEn_Par/GD      GMn/mu_n/GD      dGMn/mu_n/GD dGMn_Par/mu_n/GD
    1.000000e-06   4.96846183e-07   9.41419560e-09   9.39517318e-09   9.99999622e-01   6.37462913e-07   6.40204570e-07
    1.011579e-06   5.02599367e-07   9.52320379e-09   9.50403665e-09   9.99999617e-01   6.44844189e-07   6.47600422e-07
    1.023293e-06   5.08419173e-07   9.63347417e-09   9.61416159e-09   9.99999613e-01   6.52310933e-07   6.55081718e-07
    1.035142e-06   5.14306371e-07   9.74502135e-09   9.72556260e-09   9.99999608e-01   6.59864132e-07   6.62649442e-07
    1.047129e-06   5.20261735e-07   9.85786011e-09   9.83825437e-09   9.99999604e-01   6.67504789e-07   6.70304587e-07
    1.059254e-06   5.26286060e-07   9.97200541e-09   9.95225196e-09   9.99999599e-01   6.75233915e-07   6.78048169e-07
    1.071519e-06   5.32380143e-07   1.00874724e-08   1.00675704e-08   9.99999595e-01   6.83052536e-07   6.85881206e-07
    1.083927e-06   5.38544786e-07   1.02042763e-08   1.01842250e-08   9.99999590e-01   6.90961686e-07   6.93804727e-07
    1.096478e-06   5.44780821e-07   1.03224327e-08   1.03022315e-08   9.99999585e-01   6.98962416e-07   7.01819794e-07
    1.109175e-06   5.51089062e-07   1.04419571e-08   1.04216052e-08   9.99999580e-01   7.07055783e-07   7.09927449e-07
    1.122018e-06   5.57470343e-07   1.05628655e-08   1.05423621e-08   9.99999575e-01   7.15242862e-07   7.18128760e-07
    1.135011e-06   5.63925525e-07   1.06851739e-08   1.06645184e-08   9.99999571e-01   7.23524738e-07   7.26424826e-07
    1.148154e-06   5.70455446e-07   1.08088985e-08   1.07880899e-08   9.99999566e-01   7.31902507e-07   7.34816723e-07
    1.161449e-06   5.77060982e-07   1.09340556e-08   1.09130934e-08   9.99999561e-01   7.40377280e-07   7.43305567e-07
    1.174898e-06   5.83743006e-07   1.10606619e-08   1.10395453e-08   9.99999555e-01   7.48950181e-07   7.51892478e-07
    1.188502e-06   5.90502409e-07   1.11887341e-08   1.11674625e-08   9.99999550e-01   7.57622345e-07   7.60578594e-07
    1.202264e-06   5.97340073e-07   1.13182892e-08   1.12968618e-08   9.99999545e-01   7.66394921e-07   7.69365045e-07
    1.216186e-06   6.04256919e-07   1.14493444e-08   1.14277605e-08   9.99999540e-01   7.75269073e-07   7.78253007e-07
    1.230269e-06   6.11253856e-07   1.15819171e-08   1.15601759e-08   9.99999535e-01   7.84245976e-07   7.87243643e-07
    1.244515e-06   6.18331813e-07   1.17160247e-08   1.16941257e-08   9.99999529e-01   7.93326820e-07   7.96338141e-07
    1.258925e-06   6.25491728e-07   1.18516852e-08   1.18296276e-08   9.99999524e-01   8.02512808e-07   8.05537703e-07
    1.273503e-06   6.32734552e-07   1.19889164e-08   1.19666995e-08   9.99999518e-01   8.11805158e-07   8.14843542e-07
    1.288250e-06   6.40061242e-07   1.21277366e-08   1.21053597e-08   9.99999513e-01   8.21205101e-07   8.24256884e-07
    1.303167e-06   6.47472772e-07   1.22681641e-08   1.22456267e-08   9.99999507e-01   8.30713883e-07   8.33778974e-07
    1.318257e-06   6.54970121e-07   1.24102175e-08   1.23875189e-08   9.99999501e-01   8.40332764e-07   8.43411064e-07
    1.333521e-06   6.62554284e-07   1.25539158e-08   1.25310552e-08   9.99999495e-01   8.50063018e-07   8.53154426e-07
    1.348963e-06   6.70226268e-07   1.26992779e-08   1.26762547e-08   9.99999490e-01   8.59905935e-07   8.63010348e-07
    1.364583e-06   6.77987091e-07   1.28463230e-08   1.28231367e-08   9.99999484e-01   8.69862821e-07   8.72980133e-07
    1.380384e-06   6.85837774e-07   1.29950708e-08   1.29717205e-08   9.99999478e-01   8.79934992e-07   8.83065083e-07
    1.396368e-06   6.93779368e-07   1.31455408e-08   1.31220261e-08   9.99999472e-01   8.90123786e-07   8.93266545e-07
    1.412538e-06   7.01812917e-07   1.32977530e-08   1.32740733e-08   9.99999466e-01   9.00430552e-07   9.03585854e-07
    1.428894e-06   7.09939494e-07   1.34517277e-08   1.34278824e-08   9.99999459e-01   9.10856655e-07   9.14024380e-07
    1.445440e-06   7.18160168e-07   1.36074851e-08   1.35834735e-08   9.99999453e-01   9.21403478e-07   9.24583491e-07
    1.462177e-06   7.26476032e-07   1.37650460e-08   1.37408676e-08   9.99999447e-01   9.32072419e-07   9.35264583e-07
    1.479108e-06   7.34888192e-07   1.39244312e-08   1.39000854e-08   9.99999440e-01   9.42864890e-07   9.46069073e-07
    1.496236e-06   7.43397758e-07   1.40856619e-08   1.40611482e-08   9.99999434e-01   9.53782322e-07   9.56998377e-07
    1.513561e-06   7.52005858e-07   1.42487593e-08   1.42240771e-08   9.99999427e-01   9.64826162e-07   9.68053938e-07
    1.531087e-06   7.60713633e-07   1.44137452e-08   1.43888939e-08   9.99999421e-01   9.75997874e-07   9.79237215e-07
    1.548817e-06   7.69522241e-07   1.45806414e-08   1.45556206e-08   9.99999414e-01   9.87298937e-07   9.90549689e-07
    1.566751e-06   7.78432846e-07   1.47494700e-08   1.47242791e-08   9.99999407e-01   9.98730850e-07   1.00199285e-06
    1.584893e-06   7.87446629e-07   1.49202533e-08   1.48948918e-08   9.99999400e-01   1.01029513e-06   1.01356820e-06
    1.603245e-06   7.96564788e-07   1.50930140e-08   1.50674815e-08   9.99999393e-01   1.02199330e-06   1.02527727e-06
    1.621810e-06   8.05788530e-07   1.52677751e-08   1.52420711e-08   9.99999386e-01   1.03382692e-06   1.03712162e-06
    1.640590e-06   8.15119073e-07   1.54445596e-08   1.54186836e-08   9.99999379e-01   1.04579756e-06   1.04910279e-06
    1.659587e-06   8.24557663e-07   1.56233910e-08   1.55973426e-08   9.99999372e-01   1.05790680e-06   1.06122237e-06
