t0,wL,wR,vscint
0.31102,0.438704,0.335503,0.127461
-0.0200318,0.411434,0.338553,0.136872
0.0100931,0.369451,0.301562,0.126709
-2.80693,0.265763,0.194656,0.122732
-1.56615,0.266318,0.251506,0.130008
-2.88806,0.269668,0.224345,0.113264
-1.66305,0.335401,0.268375,0.1231
-2.92429,0.281298,0.219457,0.101261
-3.49625,0.301224,0.239356,0.098481
-1.66796,0.292135,0.279007,0.134464
-3.51401,0.257331,0.259746,0.126354
-3.39383,0.265822,0.202372,0.122321
-2.88993,0.278364,0.229911,0.124945
-3.56469,0.303476,0.242131,0.1203
-3.12467,0.283824,0.244445,0.134574
-3.3021,0.277384,0.228796,0.131312
-3.63994,0.260019,0.214413,0.128535
-2.25104,0.331037,0.256222,0.120661
-1.56481,0.333063,0.308654,0.132623
-1.5415,0.380637,0.329303,0.131019
-2.52108,0.334487,0.277284,0.124209
-0.546195,0.416366,0.350418,0.129333
-0.647962,0.396676,0.328475,0.12794
0.501946,0.401747,0.368148,0.139396
0.917773,0.433861,0.366187,0.129571
0.650345,0.395125,0.372633,0.12914
1.05375,0.394325,0.339214,0.132379
1.08538,0.413244,0.333056,0.124934
0.650074,0.379417,0.32061,0.129989
1.82303,0.419987,0.349809,0.130713
0.793089,0.373746,0.300054,0.124321
0.442582,0.381112,0.277347,0.124704
-0.527402,0.380783,0.324473,0.134391
-1.29313,0.388615,0.333779,0.129255
-1.68492,0.341657,0.284474,0.123167
-1.23265,0.399532,0.335962,0.123537
-1.02096,0.365912,0.299635,0.122343
-1.14308,0.407749,0.323255,0.123822
0.0516156,0.403626,0.333992,0.127812
-0.86053,0.393334,0.263333,0.116224
-0.509475,0.345237,0.307083,0.126811
-0.693493,0.362586,0.308602,0.124404
-1.9994,0.361904,0.26008,0.11911
0.0346357,0.395502,0.313382,0.126808
-0.284488,0.344614,0.291113,0.129003
-0.291357,0.374656,0.308304,0.126974
0.591269,0.432364,0.349692,0.12351
0.621264,0.400348,0.303893,0.125707
-1.30839,0.30668,0.238284,0.115572
-0.534312,0.375924,0.288931,0.123638
-0.056414,0.422164,0.310893,0.117327
-0.756911,0.380271,0.302965,0.124498
-1.13829,0.386064,0.283224,0.119085
-0.205207,0.406098,0.30687,0.117607
0.880911,0.415287,0.338198,0.127232
0.0214112,0.390909,0.32019,0.120401
0.253782,0.391784,0.325758,0.122811
-0.785188,0.391305,0.29898,0.124551
-0.806386,0.387481,0.31623,0.126805
-0.695838,0.401337,0.3123,0.123325
-0.0819809,0.413331,0.306716,0.121929
0.551115,0.381185,0.301113,0.12475
-1.04343,0.30955,0.24346,0.118218
0.115253,0.325652,0.220887,0.120777
-0.194054,0.324034,0.249383,0.120687
-0.788815,0.290412,0.214381,0.118366
1.87679,0.404586,0.329202,0.128893
1.19821,0.407918,0.312087,0.122709
1.07294,0.385927,0.294286,0.126258
1.34862,0.363914,0.26645,0.12105
1.54288,0.357964,0.27578,0.122538
2.41462,0.377782,0.278442,0.123246
1.66146,0.31078,0.241587,0.117125
3.68057,0.351985,0.284224,0.123259
3.7946,0.380985,0.348895,0.137927
2.72523,0.350645,0.274804,0.125673
3.51531,0.400552,0.349386,0.129219
1.18176,0.309915,0.25182,0.118714
1.06132,0.315007,0.29335,0.122777
1.57735,0.29073,0.272971,0.123864
1.3378,0.27226,0.253872,0.12443
2.58705,0.273451,0.242948,0.12256
2.70723,0.263805,0.27737,0.129291
4.03476,0.304774,0.291654,0.116923
3.97341,0.351358,0.307298,0.124338
4.3781,0.336491,0.319246,0.121437
6.76025,0.445617,0.376959,0.141351
2.89668,0.373746,0.300054,0.124321
3.48102,0.373746,0.300054,0.124321
3.48102,0.373746,0.300054,0.124321
